country,country_code,year,Meningitis,Alzheimer's Disease and Other Dementias,Parkinson's Disease,Nutritional Deficiencies,Malaria,Drowning,Interpersonal Violence,Maternal Disorders,HIV/AIDS,Drug Use Disorders,Tuberculosis,Cardiovascular Diseases,Lower Respiratory Infections,Neonatal Disorders,Alcohol Use Disorders,Self-harm,Exposure to Forces of Nature,Diarrheal Diseases,Environmental Heat and Cold Exposure,Neoplasms,Conflict and Terrorism,Diabetes Mellitus,Chronic Kidney Disease,Poisonings,Protein-Energy Malnutrition,Road Injuries,Chronic Respiratory Diseases,Cirrhosis and Other Chronic Liver Diseases,Digestive Diseases,"Fire, Heat, and Hot Substances",Acute Hepatitis
Austria,AUT,2003,39,3069,795,6,0,83,57,2,50,184,57,33519,1206,183,354,1502,21,21,38,20229,0,2064,1594,22,1,825,2948,2131,3639,51,3
Austria,AUT,2004,36,3088,781,6,0,79,68,3,56,192,55,32114,1182,177,369,1473,5,26,28,20105,0,2266,1692,22,1,788,2935,2089,3576,51,3
Austria,AUT,2005,37,3197,796,7,0,78,73,3,65,197,55,31829,1186,168,377,1455,27,33,32,20113,0,2395,1799,24,1,751,2965,2059,3560,50,3
Austria,AUT,2006,37,3254,802,7,0,74,76,2,43,201,54,31069,1139,156,393,1420,17,41,34,20028,5,2404,1887,27,1,709,2932,1985,3464,47,3
Austria,AUT,2007,36,3335,820,8,0,72,70,3,59,205,52,30852,1104,149,411,1414,9,52,37,20212,9,2372,2003,28,1,679,2944,1977,3455,47,3
Austria,AUT,2008,38,3408,835,8,0,68,67,2,47,210,52,30517,1056,148,434,1404,17,59,36,20392,7,2337,2138,28,1,647,2920,1945,3400,71,3
Austria,AUT,2009,37,3513,857,8,0,68,73,2,40,213,53,30688,1026,148,448,1439,15,67,49,20779,1,2316,2293,29,1,628,2963,1985,3429,46,3
Austria,AUT,2010,37,3686,872,9,0,65,69,2,45,211,52,30655,999,149,456,1449,24,73,40,20897,0,2247,2467,30,2,599,2969,1957,3383,45,3
Austria,AUT,2011,35,3845,896,9,0,63,71,3,41,207,54,30832,978,139,468,1447,1,80,40,21138,0,2214,2642,30,2,567,2986,1923,3336,44,3
Austria,AUT,2012,34,4004,924,10,0,62,68,2,39,193,54,31298,968,128,482,1448,13,93,48,21473,0,2213,2870,30,2,543,3059,1910,3312,44,3
Austria,AUT,2013,33,4123,941,9,0,60,66,2,50,179,56,31432,967,126,494,1446,22,102,41,21625,2,2212,3019,29,2,511,3121,1888,3275,43,3
Austria,AUT,2014,31,4250,960,10,0,57,71,5,43,164,56,31571,984,126,506,1453,6,111,38,21771,0,2237,3174,30,2,497,3169,1863,3226,43,3
Austria,AUT,2015,32,4417,995,10,0,58,79,4,44,155,55,32310,1049,128,519,1472,18,123,39,22000,0,2306,3369,31,2,495,3299,1868,3241,44,3
Austria,AUT,2016,32,4538,1004,11,0,57,77,4,35,144,52,32169,1093,132,525,1456,9,136,37,21954,0,2300,3431,33,2,484,3329,1830,3203,43,3
Austria,AUT,2017,30,4633,1007,12,0,55,74,3,37,136,50,31875,1164,129,524,1440,11,142,36,21847,0,2276,3413,32,2,477,3367,1795,3165,42,3
Austria,AUT,2018,31,4709,1017,12,0,55,71,3,36,139,50,32332,1171,120,517,1428,0,129,35,21930,0,2295,3357,31,2,485,3356,1795,3188,42,3
Austria,AUT,2019,31,4802,1040,12,0,56,70,3,35,140,50,32998,1205,115,517,1418,11,125,35,22258,0,2340,3367,31,2,491,3406,1809,3237,42,3
Belarus,BLR,2007,89,2709,581,49,0,1136,1112,19,309,354,752,79921,1354,343,2478,3617,3,12,1029,19925,12,453,506,543,25,1971,3447,2850,4765,808,27
Belarus,BLR,2008,79,2778,595,46,0,1072,1298,18,326,318,729,80064,1363,327,2426,3594,5,11,1156,20080,12,425,509,465,24,1882,3173,2968,4932,789,25
Belarus,BLR,2009,77,2863,613,47,0,1035,1227,19,374,325,701,81203,1412,311,2555,3510,5,12,1173,20327,11,414,513,451,24,1763,2920,3101,5138,788,25
Belarus,BLR,2010,74,2926,625,51,0,1065,1015,18,379,383,692,81911,1421,290,2917,3421,4,12,1125,21004,8,403,515,469,26,1695,2721,3225,5323,804,26
Belarus,BLR,2011,72,3022,648,54,0,991,1204,19,412,364,668,83777,1430,276,2996,3396,6,13,1190,21181,26,402,525,444,27,1651,2586,3329,5498,845,28
Belarus,BLR,2012,62,3081,616,50,0,813,901,17,370,348,537,76747,1236,264,2899,2820,0,13,913,19224,0,360,479,391,26,1372,2304,2742,4718,761,24
Belarus,BLR,2014,56,3305,630,53,0,705,731,16,343,330,406,76561,1148,239,3143,2479,3,14,732,19034,6,346,478,366,28,1162,2093,2489,4454,782,24
Belarus,BLR,2016,52,3474,640,47,0,630,747,14,324,275,324,76058,1137,209,3037,2296,0,13,638,19025,1,365,486,342,25,1044,2274,2265,4201,702,21
Belarus,BLR,2000,128,2445,468,65,0,1739,1422,21,171,236,660,77258,1471,439,2705,4097,0,34,840,21802,0,706,325,809,34,2369,5566,1560,3267,1038,30
Belarus,BLR,2001,126,2484,499,66,0,1778,1417,16,155,275,733,81407,1503,399,2790,4231,0,31,883,22301,0,698,362,846,34,2410,5503,1804,3582,1066,30
Belarus,BLR,2002,126,2502,537,59,0,1641,1598,18,204,382,822,86298,1551,370,2816,4389,4,25,919,22427,11,708,455,858,30,2471,5372,2176,4046,1016,30
Belarus,BLR,2003,117,2523,542,54,0,1451,1424,19,252,410,826,84745,1477,353,2763,4255,3,21,902,21498,9,632,481,801,27,2377,4818,2282,4115,994,27
Belarus,BLR,2004,109,2567,553,54,0,1390,1362,18,245,384,803,83463,1453,341,2669,4127,0,18,992,21153,0,586,469,738,28,2292,4492,2400,4268,923,26
Belarus,BLR,2005,105,2621,579,55,0,1380,1349,19,262,383,842,85238,1494,340,2630,4210,0,16,1100,21422,0,558,498,707,28,2300,4268,2683,4639,930,27
Belarus,BLR,2006,97,2678,586,52,0,1265,1259,19,282,361,807,83208,1441,342,2551,3970,0,14,1099,20793,0,503,504,626,27,2151,3853,2785,4737,874,27
Belarus,BLR,2013,58,3195,627,53,0,739,789,17,337,346,469,76881,1184,254,3077,2622,3,14,806,19073,7,348,482,379,28,1254,2141,2620,4605,778,24
Belarus,BLR,2015,53,3392,631,49,0,655,779,14,334,297,352,75549,1134,221,3057,2347,0,13,668,18844,0,353,476,348,26,1082,2196,2325,4254,722,22
Belarus,BLR,2017,51,3532,646,47,0,631,753,14,314,255,312,76577,1150,192,3016,2317,0,13,673,19371,0,377,493,344,25,1039,2359,2255,4207,697,20
Belarus,BLR,2018,50,3607,632,46,0,641,767,13,303,244,303,75197,1146,175,2989,2320,0,13,622,19382,0,383,493,346,25,1049,2374,2236,4176,687,20
Belarus,BLR,2019,49,3685,632,45,0,645,776,13,294,235,298,75339,1155,160,2973,2272,0,13,619,19668,0,393,500,349,24,1049,2438,2235,4188,681,19
Belgium,BEL,2000,68,4162,858,185,0,89,213,6,82,161,142,35953,5268,252,348,2362,1,261,37,29465,0,1828,1734,54,155,1683,7072,1938,5120,146,9
Belgium,BEL,2001,68,4209,881,205,0,91,218,11,95,163,141,35397,5283,240,362,2345,0,309,35,29228,0,1783,1780,52,173,1614,7022,1947,5156,144,7
Belgium,BEL,2002,67,4236,921,228,0,94,219,6,93,162,136,35510,5460,228,367,2312,3,370,37,29290,0,1797,1862,50,191,1515,7123,1972,5251,142,7
Belgium,BEL,2003,66,4246,959,247,0,92,182,8,90,162,133,35256,5556,225,375,2292,0,439,78,28978,0,1802,1931,46,207,1413,7162,1978,5299,144,6
Belgium,BEL,2004,62,4254,971,256,0,88,199,4,101,161,125,34009,5392,216,384,2237,0,499,38,28815,1,1767,1933,45,214,1322,6968,1954,5225,140,6
Belgium,BEL,2005,65,4377,1001,270,0,88,193,7,81,167,124,33547,5457,224,394,2242,1,558,43,28840,2,1766,1996,44,225,1266,6963,1970,5265,138,5
Belgium,BEL,2006,57,4488,1023,276,0,88,182,9,68,169,119,32725,5348,228,411,2234,0,601,111,28608,0,1739,2042,43,232,1221,6838,1963,5226,138,5
Belgium,BEL,2007,56,4621,1061,288,0,88,185,8,70,182,122,32661,5348,231,427,2278,2,646,43,28739,0,1758,2126,42,243,1200,6893,2015,5306,139,5
Belgium,BEL,2008,53,4766,1111,301,0,89,166,8,77,195,121,32909,5436,222,456,2369,0,706,44,28473,0,1799,2240,43,256,1162,7011,2097,5441,142,5
Belgium,BEL,2009,51,4850,1127,306,0,86,168,7,67,200,114,32232,5363,219,466,2363,0,755,45,30055,0,1768,2302,41,263,1101,6888,2070,5361,142,5
Belgium,BEL,2010,51,5010,1142,315,0,84,160,8,83,201,109,31700,5310,221,476,2365,4,779,47,31062,0,1718,2394,42,274,1050,6794,2048,5302,138,5
Belgium,BEL,2011,50,5195,1165,322,0,84,183,9,79,197,104,31534,5340,216,490,2375,5,794,44,31686,0,1692,2494,40,285,1014,6777,2071,5342,136,4
Belgium,BEL,2012,49,5369,1200,334,0,82,176,7,73,197,103,31817,5500,221,508,2358,0,812,53,32532,1,1689,2619,39,299,965,6900,2112,5429,137,5
Belgium,BEL,2013,50,5521,1223,340,0,81,159,5,77,198,96,31680,5576,211,520,2318,0,855,48,32991,0,1651,2692,39,307,927,6898,2108,5407,134,4
Belgium,BEL,2014,46,5658,1219,342,0,80,169,6,58,200,88,30934,5539,203,522,2262,0,852,45,32831,4,1594,2692,37,311,885,6773,2068,5297,129,5
Belgium,BEL,2015,46,5897,1255,357,0,82,162,5,61,203,88,31652,5835,196,530,2254,0,898,63,33216,0,1608,2794,36,326,869,6933,2106,5426,129,5
Belgium,BEL,2016,46,6092,1259,352,0,79,168,5,61,205,80,31413,5881,188,529,2233,2,890,48,33047,70,1589,2813,35,321,847,6926,2074,5410,127,5
Belgium,BEL,2017,45,6298,1277,358,0,78,163,5,59,211,81,32118,6026,182,529,2243,0,884,48,33186,0,1636,2844,36,327,864,7090,2081,5479,127,5
Belgium,BEL,2018,45,6473,1303,365,0,78,163,5,58,217,82,32887,6188,176,525,2232,1,891,48,33464,4,1683,2905,36,333,880,7236,2088,5565,128,5
Belgium,BEL,2019,45,6615,1331,371,0,77,163,5,56,224,82,33627,6340,171,525,2212,0,898,48,33892,0,1731,2965,37,338,888,7400,2105,5662,129,5
Bosnia and Herzegovina,BIH,2000,17,657,218,2,0,68,148,7,4,5,223,15090,401,257,242,408,6,10,4,7083,1,913,419,29,1,224,1172,729,1250,67,5
Bosnia and Herzegovina,BIH,2001,16,702,236,2,0,71,143,5,4,5,217,16279,410,214,206,421,0,9,4,7393,0,1075,456,24,1,230,1229,713,1252,67,5
Bosnia and Herzegovina,BIH,2002,16,702,248,3,0,71,143,4,4,6,211,16884,409,224,175,435,0,10,6,7739,0,1261,493,21,1,236,1268,699,1255,68,5
Bosnia and Herzegovina,BIH,2003,13,701,253,4,0,64,139,3,4,6,201,16956,393,188,150,438,0,9,8,7964,0,1420,515,20,1,234,1279,679,1243,66,5
Bosnia and Herzegovina,BIH,2004,13,699,254,4,0,67,135,3,4,7,194,16857,378,168,130,437,0,9,10,8094,0,1567,531,19,2,232,1262,654,1215,65,6
Bosnia and Herzegovina,BIH,2005,13,710,262,5,0,70,131,2,3,8,198,17250,379,158,124,462,4,9,12,8481,0,1733,558,19,2,246,1299,657,1230,68,6
Bosnia and Herzegovina,BIH,2006,12,717,260,5,0,64,129,2,2,8,187,16949,365,154,113,453,0,8,14,8509,0,1815,564,18,2,241,1262,635,1202,66,6
Bosnia and Herzegovina,BIH,2007,12,724,271,6,0,68,129,2,2,9,190,17575,372,145,113,479,0,8,16,8964,1,1990,597,19,2,255,1301,650,1235,69,6
Bosnia and Herzegovina,BIH,2008,11,730,261,5,0,62,120,2,2,9,174,16678,348,141,103,444,0,8,16,8678,2,1952,575,17,2,238,1229,613,1177,65,6
Bosnia and Herzegovina,BIH,2009,10,752,266,6,0,61,115,2,2,9,169,16739,345,133,99,430,0,8,17,8771,0,2026,583,16,2,230,1225,607,1171,63,6
Bosnia and Herzegovina,BIH,2010,10,788,271,6,0,60,108,2,2,9,161,16825,344,128,95,414,3,8,18,8801,1,2082,590,16,2,221,1221,596,1161,61,5
Bosnia and Herzegovina,BIH,2011,9,825,281,6,0,54,106,1,2,8,159,17237,351,113,93,409,0,7,16,8857,0,2129,597,16,3,216,1239,591,1160,60,5
Bosnia and Herzegovina,BIH,2012,9,855,284,6,0,54,100,1,2,9,148,17183,354,103,92,396,0,8,19,8859,0,2150,596,14,2,216,1222,587,1169,57,5
Bosnia and Herzegovina,BIH,2013,10,887,289,6,0,56,95,1,2,11,143,17395,363,101,93,397,0,8,15,9012,0,2203,605,14,2,222,1224,594,1192,55,4
Bosnia and Herzegovina,BIH,2014,10,923,297,6,0,57,90,1,2,12,138,17705,373,92,93,392,28,8,14,9128,0,2266,614,13,2,224,1230,597,1210,53,4
Bosnia and Herzegovina,BIH,2015,10,962,312,5,0,54,92,1,2,12,137,18455,398,100,93,393,0,8,15,9346,4,2324,643,14,2,218,1239,604,1242,55,4
Bosnia and Herzegovina,BIH,2016,10,990,313,5,0,54,92,1,2,11,129,18354,404,99,91,379,0,9,15,9308,0,2274,647,14,2,206,1199,597,1245,56,4
Bosnia and Herzegovina,BIH,2017,10,1017,318,5,0,50,88,1,2,11,126,18446,406,86,90,372,0,8,15,9335,0,2266,647,14,2,202,1199,594,1238,55,4
Bosnia and Herzegovina,BIH,2018,9,1048,323,5,0,49,87,1,2,11,124,18683,412,80,90,369,0,8,14,9431,0,2288,654,14,2,199,1205,595,1240,54,4
Bosnia and Herzegovina,BIH,2019,9,1080,328,5,0,48,84,1,2,11,120,18828,414,74,90,366,0,8,14,9482,0,2290,658,13,2,195,1204,593,1235,53,3
Bulgaria,BGR,2000,79,1978,771,11,0,281,417,29,59,60,325,87470,2888,360,201,1981,10,30,164,14329,4,2751,1227,132,5,1255,3636,2531,3939,154,4
Bulgaria,BGR,2001,80,2024,780,10,0,257,366,27,61,57,303,86391,2637,342,187,1888,2,27,151,14747,0,2709,1271,120,5,1248,3556,2518,3924,157,5
Bulgaria,BGR,2002,74,2060,794,11,0,249,338,21,64,55,284,85571,2464,322,172,1783,1,28,151,15396,1,2693,1297,111,5,1215,3427,2476,3887,154,5
Bulgaria,BGR,2003,76,2095,805,10,0,244,322,18,66,55,272,84189,2362,311,164,1661,2,27,154,16310,0,2667,1368,99,5,1202,3358,2459,3888,152,6
Bulgaria,BGR,2004,74,2148,816,10,0,234,314,17,65,59,258,82849,2282,312,157,1559,7,27,150,17868,23,2640,1434,88,5,1190,3281,2478,3952,152,7
Bulgaria,BGR,2005,71,2223,840,13,0,234,281,14,96,66,249,83135,2292,291,148,1486,1,28,160,19242,0,2667,1589,75,6,1187,3265,2562,4124,156,10
Bulgaria,BGR,2006,71,2314,864,14,0,234,245,12,100,68,236,83265,2269,286,133,1434,1,29,192,20346,0,2708,1694,68,6,1192,3236,2591,4217,158,11
Bulgaria,BGR,2007,68,2387,873,15,0,226,236,14,93,71,220,81458,2232,283,121,1357,13,29,154,21077,0,2636,1763,62,6,1132,3163,2587,4243,160,11
Bulgaria,BGR,2008,67,2454,875,14,0,213,220,11,88,72,201,79473,2180,288,113,1300,3,29,159,21568,0,2556,1804,57,6,1110,3051,2585,4254,152,12
Bulgaria,BGR,2009,66,2527,880,14,0,202,225,11,64,67,187,78258,2127,307,107,1243,0,29,144,21896,0,2462,1840,54,6,1045,2952,2578,4249,147,12
Bulgaria,BGR,2010,49,2612,896,13,0,189,195,13,70,65,173,78239,2054,295,100,1200,1,29,153,22215,0,2368,1881,50,6,977,2893,2574,4286,139,11
Bulgaria,BGR,2011,46,2698,906,12,0,179,176,8,61,61,161,77662,1996,261,94,1149,0,28,131,22455,0,2285,1904,48,5,911,2866,2584,4320,139,11
Bulgaria,BGR,2012,44,2776,906,12,0,172,181,8,66,56,150,76151,1940,236,92,1108,6,27,220,22437,8,2202,1897,46,5,858,2827,2573,4330,134,10
Bulgaria,BGR,2013,44,2845,901,12,0,167,163,10,55,56,140,74624,1889,220,93,1066,0,28,129,22346,0,2122,1891,44,4,846,2805,2579,4351,128,10
Bulgaria,BGR,2014,45,2926,930,13,0,175,178,8,54,57,137,76808,1951,217,95,1083,4,30,134,22915,1,2195,1953,45,4,744,2894,2706,4543,126,10
Bulgaria,BGR,2015,43,2983,939,12,0,170,177,7,53,58,128,76745,1919,190,95,1060,8,28,127,22744,0,2221,1953,45,3,736,2916,2715,4539,125,10
Bulgaria,BGR,2016,42,3034,945,12,0,167,182,8,51,61,128,76814,1938,180,98,1078,0,27,124,22444,0,2242,1936,45,4,716,2945,2724,4529,121,10
Bulgaria,BGR,2017,41,3081,955,12,0,164,181,8,50,64,125,76978,1951,177,99,1083,0,26,121,22221,0,2267,1927,45,4,701,2966,2723,4517,119,9
Bulgaria,BGR,2018,40,3126,987,12,0,163,182,8,48,67,124,78759,1983,166,100,1090,0,26,118,22179,0,2340,1950,46,4,692,3021,2722,4529,118,9
Bulgaria,BGR,2019,39,3146,1000,11,0,160,182,8,46,69,121,79119,1990,156,101,1087,0,25,115,22009,0,2377,1950,46,4,678,3036,2707,4507,117,9
Croatia,HRV,2000,31,1257,320,4,0,110,120,4,13,62,189,25732,1119,174,248,1015,0,12,37,11266,9,970,670,29,1,704,1383,1729,2702,67,2
Croatia,HRV,2001,30,1273,328,3,0,106,98,3,6,69,176,25477,1113,165,245,990,0,11,35,11150,4,944,666,29,1,697,1384,1697,2672,57,2
Croatia,HRV,2002,26,1284,344,3,0,100,82,5,11,72,171,25643,1158,150,236,973,0,12,33,11461,2,967,693,29,1,687,1427,1670,2671,56,2
Croatia,HRV,2003,24,1287,359,4,0,97,85,4,8,80,161,25721,1203,137,244,960,0,12,44,12149,4,999,719,30,1,690,1504,1633,2658,54,2
Croatia,HRV,2004,24,1294,361,3,0,90,83,4,6,85,145,24645,1182,133,247,906,0,13,34,12124,11,979,706,29,1,645,1497,1535,2545,50,2
Croatia,HRV,2005,25,1346,378,3,0,92,70,4,5,92,135,24938,1156,126,258,911,2,15,49,12627,5,1014,734,28,1,644,1564,1547,2577,51,1
Croatia,HRV,2006,23,1382,386,3,0,91,80,5,12,93,125,24559,1019,116,266,867,0,15,33,12603,1,1023,756,25,1,619,1561,1487,2513,49,1
Croatia,HRV,2007,24,1426,408,3,0,96,71,6,4,100,114,25067,912,120,282,869,0,16,31,12975,3,1080,803,24,1,619,1642,1509,2559,66,1
Croatia,HRV,2008,24,1453,421,4,0,98,77,4,8,98,106,25049,785,115,291,872,1,17,30,13740,3,1099,811,24,1,610,1678,1509,2577,50,1
Croatia,HRV,2009,24,1488,420,3,0,94,62,5,16,88,94,24176,643,119,288,820,1,17,30,13729,4,1063,793,22,1,549,1681,1409,2458,48,1
Croatia,HRV,2010,22,1562,433,3,0,93,59,4,12,85,83,24314,554,104,286,793,1,20,29,13838,4,1066,795,21,1,504,1705,1357,2420,45,1
Croatia,HRV,2011,20,1623,439,3,0,91,55,4,11,81,74,24015,503,96,282,774,0,22,27,13947,2,1036,775,21,1,482,1734,1300,2355,46,1
Croatia,HRV,2012,19,1688,446,3,0,91,56,3,12,78,68,23852,477,86,280,777,0,23,37,14144,4,1033,790,21,1,457,1777,1266,2324,43,1
Croatia,HRV,2013,17,1746,445,3,0,86,49,3,8,73,60,23260,456,89,271,736,0,25,23,13916,3,1009,786,19,1,417,1761,1179,2216,40,1
Croatia,HRV,2014,16,1815,459,3,0,85,43,2,9,71,56,23526,469,83,270,735,2,29,22,14200,0,1046,837,19,1,401,1812,1172,2222,40,1
Croatia,HRV,2015,18,1898,484,3,0,87,45,2,11,69,56,24640,513,81,270,753,1,32,22,14693,1,1134,920,19,1,402,1910,1201,2293,41,1
Croatia,HRV,2016,17,1951,465,3,0,82,48,1,8,66,53,23344,509,78,263,704,0,33,21,14034,3,1112,914,17,1,375,1831,1128,2172,36,1
Croatia,HRV,2017,17,2032,475,3,0,79,46,2,8,66,53,23939,535,72,266,701,0,30,21,14012,0,1113,909,18,1,373,1852,1139,2199,37,1
Croatia,HRV,2018,17,2098,483,3,0,78,46,2,8,68,53,24257,556,67,267,698,0,29,21,13969,0,1120,915,18,1,374,1861,1139,2208,37,1
Croatia,HRV,2019,17,2166,492,3,0,77,47,2,8,70,53,24721,580,62,268,694,0,29,21,14024,0,1134,923,18,1,372,1878,1151,2234,38,1
Cyprus,CYP,2000,5,139,65,4,0,31,22,1,2,10,7,2791,159,42,7,50,0,9,9,1179,0,512,224,2,3,207,363,117,269,8,1
Cyprus,CYP,2001,5,146,64,4,0,31,22,1,2,11,6,2723,155,38,7,50,0,9,4,1209,0,497,222,2,3,203,357,116,268,8,1
Cyprus,CYP,2002,5,153,64,4,0,30,22,1,2,11,6,2703,154,35,7,50,0,10,4,1260,0,494,223,2,3,200,356,117,271,8,1
Cyprus,CYP,2003,4,162,63,4,0,29,22,1,3,10,6,2685,152,33,7,50,0,10,4,1308,0,490,223,2,3,192,351,117,272,8,1
Cyprus,CYP,2004,4,170,64,5,0,29,22,1,3,9,5,2710,154,31,7,50,1,10,4,1381,0,494,227,2,3,193,355,118,277,8,1
Cyprus,CYP,2005,4,180,66,5,0,28,22,1,3,12,5,2772,157,31,7,52,0,11,4,1472,0,500,237,2,4,190,366,119,281,8,1
Cyprus,CYP,2006,4,189,69,5,0,29,22,1,3,13,5,2845,161,29,7,53,2,11,3,1553,0,511,250,2,4,182,381,120,287,8,1
Cyprus,CYP,2007,3,198,71,6,0,30,21,1,3,14,4,2858,161,27,8,56,0,12,7,1636,0,511,260,2,5,178,392,119,288,8,1
Cyprus,CYP,2008,3,206,71,6,0,29,21,1,3,14,4,2787,157,27,8,58,0,12,3,1702,0,497,264,2,5,167,395,118,287,8,1
Cyprus,CYP,2009,3,214,72,6,0,27,21,1,4,14,4,2738,154,27,8,58,0,13,3,1764,1,485,268,2,5,156,403,117,288,8,1
Cyprus,CYP,2010,3,223,74,6,0,25,21,1,4,14,4,2714,153,26,8,58,0,14,3,1805,0,476,278,2,5,142,414,118,294,8,1
Cyprus,CYP,2011,3,230,74,6,0,23,21,1,4,13,4,2672,149,25,8,57,0,15,3,1843,0,461,283,2,5,133,418,118,297,8,1
Cyprus,CYP,2012,2,237,75,6,0,22,21,1,4,13,4,2651,146,25,8,58,0,16,3,1892,0,451,288,2,5,127,429,118,300,8,1
Cyprus,CYP,2013,2,246,77,6,0,23,21,0,4,13,4,2665,145,24,8,60,0,17,3,1952,0,449,292,2,5,126,444,121,308,8,0
Cyprus,CYP,2014,2,256,80,7,0,24,21,0,4,14,4,2729,148,25,8,62,0,18,3,2023,0,454,301,2,6,127,466,124,318,8,0
Cyprus,CYP,2015,3,267,83,7,0,24,21,0,5,15,4,2799,151,26,9,62,0,19,3,2084,0,456,308,2,6,128,490,127,326,8,0
Cyprus,CYP,2016,3,279,84,7,0,25,21,0,4,16,5,2810,152,27,9,63,0,20,3,2117,0,450,306,2,6,128,497,128,331,8,1
Cyprus,CYP,2017,2,292,84,7,0,25,21,0,4,17,5,2860,153,26,9,64,0,20,3,2145,0,454,307,2,6,131,496,131,336,8,1
Cyprus,CYP,2018,3,307,89,7,0,26,21,0,4,17,5,2974,160,26,9,65,0,21,3,2214,1,471,319,2,6,132,517,135,349,8,1
Cyprus,CYP,2019,3,324,94,7,0,26,21,0,5,17,5,3112,169,25,9,67,0,22,3,2291,0,490,335,3,6,134,541,140,364,9,1
Czech Republic,CZE,2000,74,2964,647,10,0,250,204,6,4,79,106,57137,2543,210,304,1843,0,16,100,27253,0,1196,997,107,6,1538,2264,2164,4316,93,5
